Payment ID,Order ID,Order Amount,Amount Settled,Settlement Reference,Settled Date
pay_000000,ord_000000,1000,975,UTR0000000,2026-08-16
pay_000001,ord_000001,1010,985,UTR0000001,2026-08-17
pay_000002,ord_000002,1020,995,UTR0000002,2026-08-18
pay_000003,ord_000003,1030,1005,UTR0000003,2026-08-19
pay_000004,ord_000004,1040,1015,UTR0000004,2026-08-20
pay_000005,ord_000005,1050,1025,UTR0000005,2026-08-16
pay_000006,ord_000006,1060,1035,UTR0000006,2026-08-17
pay_000007,ord_000007,1070,1045,UTR0000007,2026-08-18
pay_000008,ord_000008,1080,1055,UTR0000008,2026-08-19
pay_000009,ord_000009,1090,1065,UTR0000009,2026-08-20
pay_000010,ord_000010,1100,1075,UTR0000010,2026-08-16
pay_000011,ord_000011,1110,1085,UTR0000011,2026-08-17
pay_000012,ord_000012,1120,1095,UTR0000012,2026-08-18
pay_000013,ord_000013,1130,1105,UTR0000013,2026-08-19
pay_000014,ord_000014,1140,1115,UTR0000014,2026-08-20
pay_000015,ord_000015,1150,1125,UTR0000015,2026-08-16
pay_000016,ord_000016,1160,1135,UTR0000016,2026-08-17
pay_000017,ord_000017,1170,1145,UTR0000017,2026-08-18
pay_000018,ord_000018,1180,1155,UTR0000018,2026-08-19
pay_000019,ord_000019,1190,1165,UTR0000019,2026-08-20
pay_000020,ord_000020,1200,1175,UTR0000020,2026-08-16
pay_000021,ord_000021,1210,1185,UTR0000021,2026-08-17
pay_000022,ord_000022,1220,1195,UTR0000022,2026-08-18
pay_000023,ord_000023,1230,1205,UTR0000023,2026-08-19
pay_000024,ord_000024,1240,1215,UTR0000024,2026-08-20
pay_000025,ord_000025,1250,1225,UTR0000025,2026-08-16
pay_000026,ord_000026,1260,1235,UTR0000026,2026-08-17
pay_000027,ord_000027,1270,1245,UTR0000027,2026-08-18
pay_000028,ord_000028,1280,1255,UTR0000028,2026-08-19
pay_000029,ord_000029,1290,1265,UTR0000029,2026-08-20
pay_000030,ord_000030,1300,1275,UTR0000030,2026-08-16
pay_000031,ord_000031,1310,1285,UTR0000031,2026-08-17
pay_000032,ord_000032,1320,1295,UTR0000032,2026-08-18
pay_000033,ord_000033,1330,1305,UTR0000033,2026-08-19
pay_000034,ord_000034,1340,1315,UTR0000034,2026-08-20
pay_000035,ord_000035,1350,1325,UTR0000035,2026-08-16
pay_000036,ord_000036,1360,1335,UTR0000036,2026-08-17
pay_000037,ord_000037,1370,1345,UTR0000037,2026-08-18
pay_000038,ord_000038,1380,1355,UTR0000038,2026-08-19
pay_000039,ord_000039,1390,1365,UTR0000039,2026-08-20
pay_000040,ord_000040,1400,1375,UTR0000040,2026-08-16
pay_000041,ord_000041,1410,1385,UTR0000041,2026-08-17
pay_000042,ord_000042,1420,1395,UTR0000042,2026-08-18
pay_000043,ord_000043,1430,1405,UTR0000043,2026-08-19
pay_000044,ord_000044,1440,1415,UTR0000044,2026-08-20
pay_000045,ord_000045,1450,1425,UTR0000045,2026-08-16
pay_000046,ord_000046,1460,1435,UTR0000046,2026-08-17
pay_000047,ord_000047,1470,1445,UTR0000047,2026-08-18
pay_000048,ord_000048,1480,1455,UTR0000048,2026-08-19
pay_000049,ord_000049,1490,1465,UTR0000049,2026-08-20
